Parameter, Description
"base: :ref:`Int <03_ride-language/02_data-types:Int>`", "Logarithm base b without decimal point."
"bp: :ref:`Int <03_ride-language/02_data-types:Int>`", "Number of decimals of a."
"exponent: :ref:`Int <03_ride-language/02_data-types:Int>`", "Exponent b without decimal point."
"ep: :ref:`Int <03_ride-language/02_data-types:Int>`", "Number of decimals of b."
"rp: :ref:`Int <03_ride-language/02_data-types:Int>`", "Number of decimals in the resulting value, from :math:`0` to :math:`8` inclusive. Specifies the accuracy of the calculated result."
"round: DOWN|CEILING|FLOOR|HALFUP|HALFEVEN", "One of the rounding variables."
